ack__count,ap_deauth__count,beacon__count,class_3_frames__count,client_deauth__count,failure_assoc__count,frame__frequency,frame__loss_rate,max_consecutive_beacons__count,null_dataframe__count,rssi__mean,rssi__sd,success_assoc__count,associated_client,end__time_epoch,episode_duration,start__time_epoch
17,0,1192,19,0,0,0.2622073043349037,0.09523809523809523,0,1,-62.714285714285715,1.7647338933351153,0,00:1e:64:63:7f:b0,1431523175.450905,80.08930206298828,1431523095.361603
60,0,1721,63,0,0,0.8833592084344426,0.009433962264150943,0,8,-62.320754716981135,2.223455782212394,0,00:1e:64:63:7f:b0,1431523295.450184,119.9964849948883,1431523175.453699
6289,0,1378,7745,0,0,69.48067132736996,0.19798536994843507,0,7,-63.17040412519487,0.8563714148963815,0,00:1e:64:63:7f:b0,1431523415.472199,120.01899003982544,1431523295.453209
0,0,1340,0,0,0,0.022007091646429115,0.0,0,0,-88.0,4.242640687119285,0,18:59:36:0b:31:fc,1431523186.241399,90.8797960281372,1431523095.361603
0,0,101,0,0,0,0.5856090037071571,0.0,0,0,-81.5,1.0,0,18:59:36:0b:31:fc,1431523197.290565,6.830496072769165,1431523190.460069
0,0,283,0,0,0,0.12280178701418673,0.0,0,0,-89.0,0.0,0,18:59:36:0b:31:fc,1431523213.580411,16.286407947540283,1431523197.294003
40,0,1288,79,0,0,0.5173425115206441,0.08888888888888889,0,4,-60.91111111111111,4.430381792609169,0,24:fd:52:66:87:05,1431523182.344596,86.98299288749695,1431523095.361603
66,0,1723,132,0,0,0.6500492628992295,0.11538461538461539,0,10,-59.705128205128204,4.5956189593691965,0,24:fd:52:66:87:05,1431523302.338302,119.99090600013733,1431523182.347396
4260,0,1343,11398,0,0,56.75652609738634,0.1816976127320955,0,8,-59.07780725022104,2.197704898236396,0,24:fd:52:66:87:05,1431523421.904594,119.5633430480957,1431523302.341251
44,0,639,52,0,0,1.3291690978364945,0.2777777777777778,0,37,-52.666666666666664,1.7374889710522772,0,60:6c:66:24:f5:4a,1431523135.988488,40.62688493728638,1431523095.361603
174,0,1752,160,0,0,1.966202594762554,0.13135593220338984,0,112,-53.34322033898305,1.8348855289733006,0,60:6c:66:24:f5:4a,1431523256.033073,120.02832293510437,1431523136.00475
3083,0,1515,2919,0,0,30.0204121255884,0.19071448429246593,0,76,-56.34139560745065,2.8595587508802796,0,60:6c:66:24:f5:4a,1431523375.854627,119.81847500801086,1431523256.036152
57,0,1383,133,0,0,0.6453701576244119,0.06557377049180328,0,2,-55.83606557377049,1.2540644304135318,0,68:a3:c4:b5:8d:d3,1431523189.881003,94.51939988136292,1431523095.361603
63,0,1732,110,0,0,0.551327385938796,0.06060606060606061,0,5,-56.42424242424242,2.3991062827042398,0,68:a3:c4:b5:8d:d3,1431523309.595193,119.7110857963562,1431523189.884107
3618,0,1314,8947,0,0,52.45126009897606,0.20966460022254013,0,4,-55.513272929581944,1.2566922103944633,0,68:a3:c4:b5:8d:d3,1431523429.538295,119.93992114067078,1431523309.598374
0,0,3950,0,0,0,0.014030309198845054,0.0,0,0,-79.25,1.5,0,80:6c:1b:45:be:49,1431523380.45867,285.09706687927246,1431523095.361603
0,0,12,0,0,0,1.8340044556869037,0.0,0,0,-82.0,1.4142135623730951,0,80:6c:1b:45:be:49,1431523381.558208,1.0905098915100098,1431523380.467698
0,0,876,0,0,0,0.20876519138039445,0.0,0,0,-80.0,4.431293675255978,0,80:6c:1b:63:0a:70,1431523152.84245,57.480846881866455,1431523095.361603
0,0,886,0,0,0,0.1498540719821044,0.0,0,0,-83.77777777777777,2.438123139721299,0,80:6c:1b:63:0a:70,1431523212.904005,60.058428049087524,1431523152.845577
0,0,868,0,0,0,0.24516094062264923,0.0,0,0,-81.13333333333334,3.7959878568725443,0,80:6c:1b:63:0a:70,1431523274.091719,61.18429780006409,1431523212.907421
0,0,853,0,0,0,0.24989674284932936,0.0,0,0,-82.26666666666667,2.6313132697969515,0,80:6c:1b:63:0a:70,1431523334.119592,60.024791955947876,1431523274.0948
0,0,570,0,0,0,0.2522586475338927,0.0,0,0,-53.888888888888886,0.33333333333333337,0,80:6c:1b:d0:2e:d0,1431523131.03927,35.677666902542114,1431523095.361603
0,0,2714,0,0,0,0.04740204881202256,0.0,0,0,-58.44444444444444,1.1303883305208782,0,80:6c:1b:d0:2e:d0,1431523320.90762,189.86521100997925,1431523131.042409
0,1,1210,2,0,0,0.049046159489444505,0.0,0,0,-85.75,3.774917217635375,0,80:6c:1b:d5:2b:ce,1431523176.917428,81.5558249950409,1431523095.361603
